district_code,score_math,female_pct,ell_pct,low_income_pct,stratio
3400000,497.0,49.0,4.0,21.0,10.0
3410000,513.0,48.0,0.0,16.0,12.0
3420000,506.0,49.0,1.0,9.0,12.0
3430000,487.0,47.0,1.0,41.0,14.0
3440000,516.0,49.0,4.0,5.0,13.0
3460000,501.0,48.0,7.0,26.0,14.0
3470000,498.0,51.0,8.0,25.0,12.0
3480000,488.0,49.0,33.68708970088926,57.0,14.0
3490000,488.0,59.0,0.0,40.0,11.0
3500000,506.0,48.0,2.0,11.0,13.0
