district_code,attendance,absences,absent_10_plus,chronically_absent_10_plus,unexcused_9,college_pct,in_school_susp,out_school_susp,expulsion,alternate_setting,emergency_removal,stud_african_american_pct,stud_asian_pct,stud_hispanic_pct,stud_white_pct,stud_amerind_pct,stud_pacisl_pct,stud_multi_pct,teach_exemplary_pct,teach_proficient_pct,teach_ni_pct,teach_unsat_pct,grad_pct,m_e_pct_ela,score_ela,m_e_pct_math,score_math,ppe,retained_pct,salary,sat_verbal,sat_math,classes,class_size,enrollment,female_pct,male_pct,ell_pct,disability_pct,low_income_pct,teach_african_american_pct,teach_asian_pct,teach_hispanic_pct,teach_white_pct,teach_amerind_pct,teach_pacisl_pct,teach_multi_pct,teach_female_pct,teach_male_pct,teach_licensed_pct,stratio,students,students_disciplined,pct_one_day,pct_two_days,pct_4_days,pct_8_days,pct_10_days,type,median_income
4790000,93,12,48,18,11,75,0,1,0,0,0,8,2,16,66,0,0,8,,,,,89,62,509,49,500,,75,,595,540,367,13,404,69,30,1,23,21,5,1,8,84,1,0,0,60,40,66,9,414,       6,1,1,1,0,0,Charter,
2360000,93,13,46,23,23,65,5,3,0,0,2,11,1,15,64,0,0,9,3,89,8,0,81,34,492,33,491,15285,87,71053,536,530,2375,16,5479,49,51,4,23,50,2,1,2,94,0,0,1,80,20,96,11,5695,     458,3,3,2,0,0,District,25766
2380000,96,7,24,7,4,,,,,,,4,4,8,81,0,0,3,20,73,8,0,,56,503,53,501,16187,92,83705,,,173,19,723,48,52,4,18,16,0,3,2,95,0,0,1,92,8,100,13,738,       3,,,,,,District,
2390000,95,9,32,10,21,66,6,3,0,0,0,2,1,5,87,0,0,4,15,80,4,0,92,52,501,45,497,16541,90,70457,536,526,4854,17,7641,48,52,1,19,23,0,1,1,98,0,0,0,82,18,99,12,7742,     551,3,2,1,0,1,District,35246
2400000,96,8,31,7,29,,,,,,,0,0,2,98,0,0,1,7,93,0,0,,64,508,58,504,17366,95,75286,,,104,14,203,50,50,0,15,18,0,0,0,100,0,0,0,97,3,100,11,209,       2,,,,,,District,
4870000,96,8,30,10,0,96,2,6,0,0,0,54,8,21,13,0,0,4,,,,,99,39,495,34,492,,68,,511,518,502,20,1145,49,51,11,16,38,11,4,7,77,0,0,1,81,19,85,11,1179,      80,3,3,1,0,0,Charter,
2420000,93,12,49,23,26,,5,1,0,0,0,27,0,14,51,0,0,7,,,,,,58,501,43,496,31549,90,90272,,,98,12,120,52,48,18,23,30,0,0,0,97,0,0,3,79,21,95,7,132,       7,4,1,1,0,0,District,28544
7530000,95,9,34,13,8,68,2,4,0,0,0,1,1,5,92,0,0,2,14,82,4,1,83,48,499,46,497,14857,85,79886,558,544,946,20,2242,51,49,0,19,25,1,1,1,97,0,0,0,86,14,100,15,2315,     113,1,1,2,1,1,District,34708
7780000,95,9,36,12,13,63,2,4,0,0,0,1,0,7,89,0,0,4,41,58,2,0,89,44,497,45,498,12072,85,64738,587,564,598,18,1385,49,51,2,18,35,0,1,0,99,0,0,0,79,21,91,13,1397,      73,2,2,1,1,0,District,28982
2430000,95,8,31,13,26,74,2,3,0,0,0,7,40,6,44,0,0,3,7,92,1,0,92,60,506,54,502,16795,93,81141,541,565,4916,16,9552,48,52,15,18,35,1,4,0,93,0,0,1,82,18,99,13,9892,     375,1,1,1,0,0,District,34521
7550000,96,8,27,9,1,72,6,6,0,0,0,2,2,9,83,0,0,4,1,97,1,0,83,40,495,43,496,17198,84,65627,557,552,624,14,795,52,48,1,15,37,0,1,3,96,0,0,0,68,32,93,13,816,      77,3,4,2,1,1,District,
